ï»¿Regiao - Sigla,Estado - Sigla,Municipio,Revenda,CNPJ da Revenda,Nome da Rua,Numero Rua,Complemento,Bairro,Cep,Produto,Data da Coleta,Valor de Venda,Valor de Compra,Unidade de Medida,Bandeira
SE,SP,JALES,SB COMBUSTIVEIS AEROPORTO LTDA, 03.060.808/0001-52,AVENIDA PAULO MARCONDES,720,,CHACARA ANEXA AO AEROPORTO MUNICIPAL,15703-336,GASOLINA,03/08/2026,"6,69",,R$ / litro,RAIZEN
SE,SP,JALES,SB COMBUSTIVEIS AEROPORTO LTDA, 03.060.808/0001-52,AVENIDA PAULO MARCONDES,720,,CHACARA ANEXA AO AEROPORTO MUNICIPAL,15703-336,GASOLINA ADITIVADA,03/08/2026,"6,89",,R$ / litro,RAIZEN
SE,SP,JALES,SB COMBUSTIVEIS AEROPORTO LTDA, 03.060.808/0001-52,AVENIDA PAULO MARCONDES,720,,CHACARA ANEXA AO AEROPORTO MUNICIPAL,15703-336,ETANOL,03/08/2026,"3,89",,R$ / litro,RAIZEN
SE,SP,MOGI GUACU,AUTO POSTO GUACU BRASIL LTDA, 09.429.269/0001-62,AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,1925,,JARDIM NOSSA SENHORA DAS GRACAS,13845-350,GASOLINA,03/08/2026,"6,39",,R$ / litro,BRANCA
SE,SP,MOGI GUACU,AUTO POSTO GUACU BRASIL LTDA, 09.429.269/0001-62,AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,1925,,JARDIM NOSSA SENHORA DAS GRACAS,13845-350,GASOLINA ADITIVADA,03/08/2026,"6,49",,R$ / litro,BRANCA
SE,SP,MOGI GUACU,AUTO POSTO GUACU BRASIL LTDA, 09.429.269/0001-62,AVENIDA PRESIDENTE TANCREDO DE ALMEIDA NEVES,1925,,JARDIM NOSSA SENHORA DAS GRACAS,13845-350,ETANOL,03/08/2026,"3,64",,R$ / litro,BRANCA
SE,SP,MOGI GUACU,AUTO POSTO VILA PARAISO LTDA, 06.989.915/0001-58,AVENIDA TRABALHADORES,400,,VILA PARAISO,13843-000,GASOLINA,03/08/2026,"6,59",,R$ / litro,NEXTA
SE,SP,MOGI GUACU,AUTO POSTO VILA PARAISO LTDA, 06.989.915/0001-58,AVENIDA TRABALHADORES,400,,VILA PARAISO,13843-000,GASOLINA ADITIVADA,03/08/2026,"6,69",,R$ / litro,NEXTA
SE,SP,MOGI GUACU,AUTO POSTO VILA PARAISO LTDA, 06.989.915/0001-58,AVENIDA TRABALHADORES,400,,VILA PARAISO,13843-000,ETANOL,03/08/2026,"3,99",,R$ / litro,NEXTA
SE,SP,MOGI MIRIM,AUTO POSTO EVOLUCAO LTDA, 53.977.773/0001-99,AVENIDA BRASIL,44,,PARQUE ESPERANCA,13806-001,GASOLINA,03/08/2026,"6,39",,R$ / litro,RAIZEN
SE,SP,MOGI MIRIM,AUTO POSTO EVOLUCAO LTDA, 53.977.773/0001-99,AVENIDA BRASIL,44,,PARQUE ESPERANCA,13806-001,GASOLINA ADITIVADA,03/08/2026,"6,69",,R$ / litro,RAIZEN
SE,SP,MOGI MIRIM,AUTO POSTO EVOLUCAO LTDA, 53.977.773/0001-99,AVENIDA BRASIL,44,,PARQUE ESPERANCA,13806-001,ETANOL,03/08/2026,"3,49",,R$ / litro,RAIZEN
SE,SP,MONTE ALTO,AUTO POSTO PIGNATTA LTDA, 53.741.583/0001-78,RUA NHONHO LIVRAMENTO,2328,,CENTRO,15910-000,GASOLINA,03/08/2026,"6,49",,R$ / litro,BRANCA
SE,SP,MONTE ALTO,AUTO POSTO PIGNATTA LTDA, 53.741.583/0001-78,RUA NHONHO LIVRAMENTO,2328,,CENTRO,15910-000,ETANOL,03/08/2026,"3,74",,R$ / litro,BRANCA
SE,SP,PIRACICABA,COMERCIAL DE COMBUSTÃVEIS APOLLO PIRACICABA LTDA., 06.182.123/0001-77,RUA SAO JOSE,1079,,CENTRO,13416-730,GASOLINA,03/08/2026,"6,09",,R$ / litro,ALE
SE,SP,PIRACICABA,COMERCIAL DE COMBUSTÃVEIS APOLLO PIRACICABA LTDA., 06.182.123/0001-77,RUA SAO JOSE,1079,,CENTRO,13416-730,ETANOL,03/08/2026,"3,37",,R$ / litro,ALE
SE,SP,PIRACICABA,AUTO CENTER BOM JESUS LTDA, 06.060.365/0001-98,AVENIDA LIMEIRA,561,,VILA AREAO,13414-018,GASOLINA,03/08/2026,"6,07",,R$ / litro,BRANCA
SE,SP,PIRACICABA,AUTO CENTER BOM JESUS LTDA, 06.060.365/0001-98,AVENIDA LIMEIRA,561,,VILA AREAO,13414-018,GASOLINA ADITIVADA,03/08/2026,"6,09",,R$ / litro,BRANCA
SE,SP,PIRACICABA,AUTO CENTER BOM JESUS LTDA, 06.060.365/0001-98,AVENIDA LIMEIRA,561,,VILA AREAO,13414-018,ETANOL,03/08/2026,"3,39",,R$ / litro,BRANCA
